"level","province","city","county","town","village","short_name","merger_name","area_code","city_code","zip_code","lat","lon"
"2","广东省","惠州市",,,,"惠州","广东;惠州","441300000000","0752","516000","23.111847","114.416196"
"3","广东省","惠州市","市辖区",,,"惠州","广东;惠州","441301000000","0752","516000","23.111847","114.416196"
"3","广东省","惠州市","惠城区",,,"惠城","广东;惠州;惠城","441302000000","0752","516000","23.084122","114.382541"
"4","广东省","惠州市","惠城区","桥东街道办事处",,"桥东","广东;惠州;惠城;桥东","441302001000","0752","516002","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥东街道办事处","东湖社区居委会","东湖","广东;惠州;惠城;桥东;东湖","441302001001","0752","516002","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥东街道办事处","新建社区居委会","新建","广东;惠州;惠城;桥东;新建","441302001003","0752","516002","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥东街道办事处","菜园墩社区居委会","菜园墩","广东;惠州;惠城;桥东;菜园墩","441302001005","0752","516002","23.086842","114.415075"
"5","广东省","惠州市","惠城区","桥东街道办事处","水东东社区居委会","水东东","广东;惠州;惠城;桥东;水东东","441302001006","0752","516002","23.090544","114.412239"
"5","广东省","惠州市","惠城区","桥东街道办事处","和平直社区居委会","和平直","广东;惠州;惠城;桥东;和平直","441302001008","0752","516002","23.085876","114.416752"
"5","广东省","惠州市","惠城区","桥东街道办事处","桃子园社区居委会","桃子园","广东;惠州;惠城;桥东;桃子园","441302001010","0752","516002","23.085616","114.422842"
"5","广东省","惠州市","惠城区","桥东街道办事处","东河社区居委会","东河","广东;惠州;惠城;桥东;东河","441302001011","0752","516002","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥东街道办事处","长湖苑社区居委会","长湖苑","广东;惠州;惠城;桥东;长湖苑","441302001012","0752","516005","23.086370","114.444762"
"5","广东省","惠州市","惠城区","桥东街道办事处","荷乡社区居民委员会","荷乡","广东;惠州;惠城;桥东;荷乡","441302001013","0752","516002","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥东街道办事处","东平村民委员会","东平","广东;惠州;惠城;桥东;东平","441302001200","0752","516002","23.089427","114.438472"
"5","广东省","惠州市","惠城区","桥东街道办事处","文头岭村民委员会","文头岭","广东;惠州;惠城;桥东;文头岭","441302001202","0752","516002","23.073158","114.458525"
"4","广东省","惠州市","惠城区","桥西街道办事处",,"桥西","广东;惠州;惠城;桥西","441302002000","0752","516199","23.084122","114.382541"
"5","广东省","惠州市","惠城区","桥西街道办事处","麦地社区居委会","麦地","广东;惠州;惠城;桥西;麦地","441302002001","0752","516008","23.074440","114.407403"
"5","广东省","惠州市","惠城区","桥西街道办事处","北门街社区居委会","北门街","广东;惠州;惠城;桥西;北门街","441302002002","0752","516001","23.096418","114.405065"
"5","广东省","惠州市","惠城区","桥西街道办事处","数码街社区居委会","数码街","广东;惠州;惠城;桥西;数码街","441302002004","0752","516008","23.077108","114.412955"
