town,city,cityCode,standard_county,province,standard_village,title,standard_town,search_title,lon,completionYear,county,address,lat,standard_province,salesPrice,standard_city,aliases
麦地东,惠州,441300,惠城区,,麦地社区居委会,泰豪绿湖新村,桥西街道办事处,泰豪绿湖新村,114.415,0,惠城,麦地东路8号,23.0725,广东省,14332.0,惠州市,
东平北,惠州,441300,惠城区,,东平村民委员会,光耀荷兰水乡三期,桥东街道办事处,光耀荷兰水乡3期,114.444,2008,惠城,东平二街2号,23.0962,广东省,12065.0,惠州市,光耀荷兰水乡 荷兰水乡 荷兰水乡3期
江北滨江区,惠州,441300,惠城区,,,丽日百合家园,江北街道办事处,丽日百合家园,114.418,2005,惠城,文昌二路1号,23.1138,广东省,19639.0,惠州市,
江北滨江区,惠州,441300,惠城区,,,金裕碧水湾,江北街道办事处,金裕碧水湾,114.414,2010,惠城,文昌二路8号,23.1126,广东省,21695.0,惠州市,
麦地东,惠州,441300,惠城区,,麦地社区居委会,鸿润花园,桥西街道办事处,鸿润花园,114.415,2008,惠城,麦地东二路6号,23.0694,广东省,13779.0,惠州市,
龙丰,惠州,441300,惠城区,,,万林湖,龙丰街道办事处,万林湖,114.391,2007,惠城,金榜路28号,23.0686,广东省,13300.0,惠州市,
麦地西,惠州,441300,惠城区,,麦地社区居委会,麦迪新村,桥西街道办事处,麦迪新村,114.409,2007,惠城,马庄路40号,23.073,广东省,7054.0,惠州市,
江北中心区,惠州,441300,惠城区,,,丽景花园,江北街道办事处,丽景花园,114.433,2004,惠城,新淋路2号,23.1213,广东省,8743.0,惠州市,
南部新城,惠州,441300,惠城区,,,惠泽南苑,,惠泽南苑,114.427,2005,惠城,演达二路,23.0602,广东省,9883.0,惠州市,
南部新城,惠州,441300,惠城区,,,威廉城邦,,威廉城邦,114.427,2008,惠城,三环路15号,23.064,广东省,12945.0,惠州市,
惠环,惠州,441300,仲恺高新区,,,青青世界,惠环街道办事处,青青世界,114.352,2007,惠城,惠风四路,23.0377,广东省,8234.0,惠州市,
南部新城,惠州,441300,惠城区,,,恒和金谷,,恒和金谷,114.421,2007,惠城,演达大道,23.0598,广东省,11627.0,惠州市,
河南岸,惠州,441300,惠城区,,,河南岸镇教师新村,河南岸街道办事处,河南岸镇教师新村,114.43,2011,惠城,白泥路,23.0718,广东省,11259.0,惠州市,
淡水中心区,惠州,441300,惠阳区,,,中铭豪园,淡水街道办事处,中铭豪园,114.465,2008,惠阳,广场东路,22.7928,广东省,9571.0,惠州市,
河南岸,惠州,441300,惠城区,,,金岸花苑,河南岸街道办事处,金岸花苑,114.429,0,惠城,白泥路4号,23.0704,广东省,8619.0,惠州市,
江北滨江区,惠州,441300,惠城区,,,嘉和名苑,江北街道办事处,嘉和名苑,114.414,2007,惠城,文昌二路28号,23.1167,广东省,17761.0,惠州市,
南部新城,惠州,441300,惠城区,,,启明苑,,启明苑,114.427,2006,惠城,演达二路8号,23.0584,广东省,10095.0,惠州市,
南部新城,惠州,441300,惠城区,,,东江学府一期,,东江学府1期,114.443,2016,惠城,体育南路,23.0283,广东省,12270.0,惠州市,东江学府
麦地东,惠州,441300,惠城区,,麦地社区居委会,光辉国际公寓,桥西街道办事处,光辉国际公寓,114.424,0,惠城,三环南路,23.0653,广东省,10929.0,惠州市,
南部新城,惠州,441300,惠城区,,,美地花园城,,美地花园城,114.428,2008,惠城,演达二路7号,23.0592,广东省,11706.0,惠州市,
河南岸,惠州,441300,惠城区,,,广厦新苑,河南岸街道办事处,广厦新苑,114.431,1997,惠城,白泥路5号,23.0723,广东省,6796.0,惠州市,
东平北,惠州,441300,惠城区,,东平村民委员会,金典故事,桥东街道办事处,金典故事,114.429,2004,惠城,东湖西路,23.0907,广东省,9112.0,惠州市,
金山湖,惠州,441300,惠城区,,,南山诗意,河南岸街道办事处,南山诗意,114.434,2009,惠城,惠南大道,23.039,广东省,12229.0,惠州市,
南部新城,惠州,441300,惠城区,,,润泽居,,润泽居,114.421,2007,惠城,演达一路,23.0575,广东省,10092.0,惠州市,
河南岸,惠州,441300,惠城区,,,沙廖湖小区,河南岸街道办事处,沙廖湖小区,114.428,1998,惠城,惠沙堤二路,23.0848,广东省,7388.0,惠州市,
淡水中心区,惠州,441300,惠阳区,,,信和苑,淡水街道办事处,信和苑,114.461,2006,惠阳,福利路,22.799,广东省,10659.0,惠州市,
水口,惠州,441300,惠城区,,,合生上观国际西区,水口街道办事处,合生上观国际西区,114.467,2006,惠城,皇冠路,23.0999,广东省,12388.0,惠州市,合生上观国际
河南岸,惠州,441300,惠城区,,,水岸花都,河南岸街道办事处,水岸花都,114.431,2005,惠城,惠沙堤二路38号,23.0834,广东省,11165.0,惠州市,
下埔,惠州,441300,惠城区,,下埔社区居委会,水印尚堤,桥西街道办事处,水印尚堤,114.416,2006,惠城,惠沙堤一路5号,23.0898,广东省,9787.0,惠州市,
南站新城,惠州,441300,惠阳区,,,博雅苑,,博雅苑,114.478,2005,惠阳,承修二路,22.7874,广东省,7484.0,惠州市,
东平北,惠州,441300,惠城区,,东平村民委员会,东晖苑,桥东街道办事处,东晖苑,114.435,2003,惠城,东平大道35号,23.0947,广东省,9886.0,惠州市,
麦地东,惠州,441300,惠城区,,麦地社区居委会,云天华庭,桥西街道办事处,云天华庭,114.421,2009,惠城,演达一路14号,23.074,广东省,11870.0,惠州市,
东平北,惠州,441300,惠城区,,东平村民委员会,华庭阁,桥东街道办事处,华庭阁,114.434,0,惠城,东湖西路,23.0931,广东省,11407.0,惠州市,
花边岭,惠州,441300,惠城区,,花边岭社区居委会,华侨新村,桥西街道办事处,华侨新村,114.413,1994,惠城,麦地路,23.0799,广东省,5568.0,惠州市,
淡水中心区,惠州,441300,惠阳区,,,金惠大厦,淡水街道办事处,金惠大厦,114.457,2006,惠阳,金惠大道19号,22.7911,广东省,10084.0,惠州市,
淡水西,惠州,441300,惠阳区,,,康泰花园,淡水街道办事处,康泰花园,114.47,1996,惠阳,大华三路9号,22.7847,广东省,6480.0,惠州市,
花边岭,惠州,441300,惠城区,,花边岭社区居委会,五星国墅园,桥西街道办事处,5星国墅园,114.422,2009,惠城,石湖路,23.0752,广东省,9761.0,惠州市,
